max.pop	max.age	min.rep	max.rep	fertility	survival.time
8	80	20	40	0.2	274
12	80	20	40	0.2	256
16	80	20	40	0.2	224
20	80	20	40	0.2	559
24	80	20	40	0.2	3127
28	80	20	40	0.2	3054
32	80	20	40	0.2	1715
4	80	20	40	0.2	66
8	80	20	40	0.2	98
12	80	20	40	0.2	246
16	80	20	40	0.2	420
20	80	20	40	0.2	409
24	80	20	40	0.2	186
28	80	20	40	0.2	447
32	80	20	40	0.2	2830
4	80	20	40	0.2	108
8	80	20	40	0.2	104
12	80	20	40	0.2	122
16	80	20	40	0.2	366
20	80	20	40	0.2	889
24	80	20	40	0.2	2171
28	80	20	40	0.2	490
32	80	20	40	0.2	4399
4	80	20	40	0.2	75
8	80	20	40	0.2	137
12	80	20	40	0.2	101
16	80	20	40	0.2	87
20	80	20	40	0.2	604
24	80	20	40	0.2	1699
28	80	20	40	0.2	507
32	80	20	40	0.2	1871
4	80	20	40	0.2	106
8	80	20	40	0.2	230
12	80	20	40	0.2	364
16	80	20	40	0.2	845
20	80	20	40	0.2	106
24	80	20	40	0.2	609
28	80	20	40	0.2	1237
32	80	20	40	0.2	2903
4	80	20	40	0.2	107
8	80	20	40	0.2	203
12	80	20	40	0.2	140
16	80	20	40	0.2	595
20	80	20	40	0.2	899
24	80	20	40	0.2	298
28	80	20	40	0.2	1936
32	80	20	40	0.2	3760
4	80	20	40	0.2	165
8	80	20	40	0.2	157
12	80	20	40	0.2	473
16	80	20	40	0.2	405
20	80	20	40	0.2	106
24	80	20	40	0.2	953
28	80	20	40	0.2	2348
32	80	20	40	0.2	4911
4	80	20	40	0.2	76
8	80	20	40	0.2	297
12	80	20	40	0.2	102
16	80	20	40	0.2	149
20	80	20	40	0.2	1257
24	80	20	40	0.2	1081
28	80	20	40	0.2	610
32	80	20	40	0.2	2382
4	80	20	40	0.2	77
8	80	20	40	0.2	149
12	80	20	40	0.2	86
16	80	20	40	0.2	258
20	80	20	40	0.2	1710
24	80	20	40	0.2	1394
28	80	20	40	0.2	542
32	80	20	40	0.2	3838
4	80	20	40	0.2	79
8	80	20	40	0.2	174
12	80	20	40	0.2	110
16	80	20	40	0.2	104
20	80	20	40	0.2	367
24	80	20	40	0.2	237
28	80	20	40	0.2	4550
32	80	20	40	0.2	1832
4	80	20	40	0.2	64
8	80	20	40	0.2	67
12	80	20	40	0.2	307
16	80	20	40	0.2	177
20	80	20	40	0.2	847
24	80	20	40	0.2	1117
28	80	20	40	0.2	831
32	80	20	40	0.2	1672
4	80	20	40	0.2	79
8	80	20	40	0.2	102
12	80	20	40	0.2	481
16	80	20	40	0.2	234
20	80	20	40	0.2	349
24	80	20	40	0.2	524
28	80	20	40	0.2	3930
32	80	20	40	0.2	6473
4	80	20	40	0.2	73
8	80	20	40	0.2	101
12	80	20	40	0.2	279
16	80	20	40	0.2	100
20	80	20	40	0.2	270
24	80	20	40	0.2	2108
28	80	20	40	0.2	1080
32	80	20	40	0.2	3317
4	80	20	40	0.2	103
8	80	20	40	0.2	109
12	80	20	40	0.2	197
16	80	20	40	0.2	309
20	80	20	40	0.2	128
24	80	20	40	0.2	1574
28	80	20	40	0.2	2383
32	80	20	40	0.2	642
4	80	20	40	0.2	93
8	80	20	40	0.2	98
12	80	20	40	0.2	313
16	80	20	40	0.2	72
20	80	20	40	0.2	1496
24	80	20	40	0.2	1885
28	80	20	40	0.2	1094
32	80	20	40	0.2	3571
4	80	20	40	0.2	127
8	80	20	40	0.2	203
12	80	20	40	0.2	190
16	80	20	40	0.2	393
20	80	20	40	0.2	137
24	80	20	40	0.2	795
28	80	20	40	0.2	2868
32	80	20	40	0.2	1015
4	80	20	40	0.2	53
8	80	20	40	0.2	56
12	80	20	40	0.2	429
16	80	20	40	0.2	918
20	80	20	40	0.2	318
24	80	20	40	0.2	3786
28	80	20	40	0.2	371
32	80	20	40	0.2	1058
4	80	20	40	0.2	51
8	80	20	40	0.2	224
12	80	20	40	0.2	354
16	80	20	40	0.2	1104
20	80	20	40	0.2	128
24	80	20	40	0.2	374
28	80	20	40	0.2	3268
32	80	20	40	0.2	9653
4	80	20	40	0.2	79
8	80	20	40	0.2	46
12	80	20	40	0.2	101
16	80	20	40	0.2	486
20	80	20	40	0.2	486
24	80	20	40	0.2	481
28	80	20	40	0.2	108
32	80	20	40	0.2	1853
4	80	20	40	0.2	68
8	80	20	40	0.2	57
12	80	20	40	0.2	439
16	80	20	40	0.2	431
20	80	20	40	0.2	598
24	80	20	40	0.2	288
28	80	20	40	0.2	1718
32	80	20	40	0.2	4480
4	80	20	40	0.2	56
8	80	20	40	0.2	79
12	80	20	40	0.2	461
16	80	20	40	0.2	891
20	80	20	40	0.2	414
